"scenario","model","rep","year","pvpr_2_10","clin_0_5","clin_all","relapse_all"
"eir_1","IBM",1,27.9452,0.0448842,0.488569,0.457023,1.71414
"eir_1","IBM",1,28.0274,0.0424804,0.481127,0.472992,1.77188
"eir_1","IBM",1,28.1096,0.041843,0.492585,0.469287,1.80241
"eir_1","IBM",1,28.1918,0.0407932,0.46486,0.464367,1.73004
"eir_1","IBM",1,28.274,0.0357494,0.437126,0.408006,1.73372
"eir_1","IBM",1,28.3562,0.0421604,0.536203,0.472944,1.80233
"eir_1","IBM",1,28.4384,0.0420867,0.537446,0.461917,1.78886
"eir_1","IBM",1,28.5205,0.0400134,0.515925,0.461917,1.81459
"eir_1","IBM",1,28.6027,0.038541,0.504611,0.428842,1.75825
"eir_1","IBM",1,28.6849,0.0410136,0.602093,0.468089,1.79883
"eir_1","IBM",1,28.7671,0.0415791,0.503511,0.447259,1.80129
"eir_1","IBM",1,28.8493,0.0441714,0.509545,0.464414,1.87114
"eir_1","IBM",1,28.9315,0.0405292,0.453174,0.472992,1.80742
"eir_1","IBM",1,29.0137,0.0442609,0.532237,0.46684,1.75341
"eir_1","IBM",1,29.0959,0.0430117,0.514245,0.479022,1.81195
"eir_1","IBM",1,29.1781,0.0440613,0.430546,0.453302,1.83404
"eir_1","IBM",1,29.2603,0.0487501,0.505254,0.474169,1.83664
"eir_1","IBM",1,29.3425,0.0453732,0.442947,0.444778,1.71907
"eir_1","IBM",1,29.4247,0.0424944,0.468223,0.452115,1.76925
"eir_1","IBM",1,29.5068,0.0424407,0.422414,0.487627,1.83779
"eir_1","IBM",1,29.589,0.0446593,0.450496,0.449664,1.71044
"eir_1","IBM",1,29.6712,0.0434369,0.461828,0.454565,1.81213
"eir_1","IBM",1,29.7534,0.0453372,0.422092,0.461917,1.79253
"eir_1","IBM",1,29.8356,0.0454736,0.455198,0.480295,1.77293
"eir_1","IBM",1,29.9178,0.0413498,0.459495,0.486422,1.78028
