"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_1","IBM",6,40,60,50,0.0892816,0.0376729,0.253975
"eir_1","IBM",6,60,85,72.5,0.0407921,0.0368843,0.218705
"eir_3","IBM",6,0,1,0.5,0.0473036,0.0169049,0.363084
"eir_3","IBM",6,1,2,1.5,0.045654,0.0474504,0.941247
"eir_3","IBM",6,2,3,2.5,0.0427526,0.0693273,1.26767
"eir_3","IBM",6,3,5,4,0.079944,0.0975388,1.57239
"eir_3","IBM",6,5,7,6,0.0742635,0.100554,1.28429
"eir_3","IBM",6,7,10,8.5,0.0960708,0.0897235,0.92133
"eir_3","IBM",6,10,15,12.5,0.134052,0.0786221,0.686266
"eir_3","IBM",6,15,20,17.5,0.101905,0.0669017,0.514579
"eir_3","IBM",6,20,30,25,0.150004,0.0581432,0.321406
"eir_3","IBM",6,30,40,35,0.0937345,0.0494288,0.179625
"eir_3","IBM",6,40,60,50,0.0922871,0.047506,0.0941519
"eir_3","IBM",6,60,85,72.5,0.0420289,0.0412375,0.0812475
"eir_10","IBM",6,0,1,0.5,0.047685,0.0597033,1.22358
"eir_10","IBM",6,1,2,1.5,0.0467826,0.136984,2.73945
"eir_10","IBM",6,2,3,2.5,0.045014,0.177884,2.8546
"eir_10","IBM",6,3,5,4,0.0814225,0.190665,2.16637
"eir_10","IBM",6,5,7,6,0.0717037,0.178853,1.5911
"eir_10","IBM",6,7,10,8.5,0.0974406,0.147311,1.06775
"eir_10","IBM",6,10,15,12.5,0.132945,0.118393,0.559725
"eir_10","IBM",6,15,20,17.5,0.10586,0.0872953,0.25785
"eir_10","IBM",6,20,30,25,0.14771,0.0677994,0.146781
"eir_10","IBM",6,30,40,35,0.0934266,0.0546378,0.139022
"eir_10","IBM",6,40,60,50,0.089523,0.0509171,0.0853881
"eir_10","IBM",6,60,85,72.5,0.0404874,0.0439224,0.0417709
"demography","IBM",6,0,1,0.5,0.0171232,0.0187585,0.42756
"demography","IBM",6,1,2,1.5,0.0167482,0.0469171,0.932685
"demography","IBM",6,2,3,2.5,0.0169784,0.0634521,1.10882
"demography","IBM",6,3,5,4,0.0345261,0.0713825,1.1306
"demography","IBM",6,5,7,6,0.0345442,0.084312,1.19154
"demography","IBM",6,7,10,8.5,0.0519016,0.0884629,1.03942
"demography","IBM",6,10,15,12.5,0.0796403,0.0786901,0.733309
"demography","IBM",6,15,20,17.5,0.0817286,0.0635194,0.515185
"demography","IBM",6,20,30,25,0.155186,0.0552327,0.339804
"demography","IBM",6,30,40,35,0.151895,0.0490825,0.252323
"demography","IBM",6,40,60,50,0.233848,0.0477801,0.143264
"demography","IBM",6,60,85,72.5,0.12588,0.0453306,0.109888
"eir_1","IBM",7,0,1,0.5,0.0447588,0.00824674,0.183024
"eir_1","IBM",7,1,2,1.5,0.0425807,0.0229478,0.465065
"eir_1","IBM",7,2,3,2.5,0.0408147,0.0294055,0.554027
"eir_1","IBM",7,3,5,4,0.0770768,0.0357003,0.614419
"eir_1","IBM",7,5,7,6,0.0738568,0.0487062,0.793831
"eir_1","IBM",7,7,10,8.5,0.0981063,0.0505654,0.704579
"eir_1","IBM",7,10,15,12.5,0.137694,0.0443127,0.511842
"eir_1","IBM",7,15,20,17.5,0.108254,0.0445077,0.414951
"eir_1","IBM",7,20,30,25,0.153201,0.0404898,0.344474
"eir_1","IBM",7,30,40,35,0.0920468,0.0378619,0.271773
"eir_1","IBM",7,40,60,50,0.0895877,0.0373391,0.254672
"eir_1","IBM",7,60,85,72.5,0.0420224,0.0340139,0.192525
"eir_3","IBM",7,0,1,0.5,0.0469887,0.0213309,0.419821
