"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"tafenoquine","IBM",1,0.0121451713505774,0.0271160931411789,0.231717966205406,0.179792233714973,1.90171956963394,0.136062099260724,1.62063581375977
"tafenoquine_e10","IBM",1,0.0485642147850331,0.112010945328915,0.860987703043992,0.390678246162044,8.19517637152913,0.37103287342143,7.55385713992904
"nets_e1","IBM",2,0.00864650668473335,0.0175566925816801,0.0975298935803954,0.103195575372726,0.326590351959572,0.0335955186985673,0.26143610576202
"nets","IBM",2,0.0576824124113187,0.113248707309944,0.783187379703757,0.503457986803667,2.1536348242854,0.172476363113644,2.07976495122614
"nets_e10","IBM",2,0.135002489373507,0.259898501884269,2.03174639155152,0.850674699564123,7.66416181202214,0.404206713824625,7.64641524500237
"irs_e1","IBM",2,0,0,0,0,0,0.00381243937679251,3.7394394226437e-50
"irs","IBM",2,0,0,0,0,0,0.00967619415032252,4.99292709779141e-22
"irs_e10","IBM",2,0.130844478308111,0.228894734106408,1.99974645415046,0.944525734921414,6.53038982080095,0.325780770346706,8.72282463438001
"treatment_e1","IBM",2,0.0147028392405294,0.0316750078778688,0.279625155707568,0.300570740109723,1.0466985302482,0.103406651547147,0.660254435295768
"treatment","IBM",2,0.0439189403885971,0.0939444240377539,0.82134885886729,0.533832032576467,3.5743244565162,0.260127216345402,2.4802659494321
"treatment_e10","IBM",2,0.107565702201227,0.23251725703891,1.94028980024414,0.773250912661238,11.4159202502774,0.521083554814374,9.05684085980115
"primaquine_e1","IBM",2,0.00182152906146853,0.00416865005712478,0.036715581921143,0.0399571195026848,0.267789863871058,0.0260250940802817,0.21067271305193
"primaquine","IBM",2,0.0121507055713017,0.0270727839976153,0.239533468838471,0.163946015784335,1.84995088009295,0.136536253229222,1.55592642668495
"primaquine_e10","IBM",2,0.0485332939328547,0.113241287558601,0.909618190007305,0.40432184295264,8.38283215428502,0.375555589472362,7.55272056505674
"tafenoquine_e1","IBM",2,0.00192955786612572,0.00450552854708883,0.0394671603687997,0.0446627105501208,0.273408214583848,0.0271563574269877,0.21992761748981
"tafenoquine","IBM",2,0.0117823100997509,0.0258365497502566,0.231615620373861,0.164726124887599,1.89674773275317,0.137369156845153,1.52917217777104
"tafenoquine_e10","IBM",2,0.0426324581945941,0.100384269033919,0.831082566502308,0.375857950861592,8.15596658672834,0.369532330910677,7.25116974862753
"nets_e1","IBM",3,0.00878440854088103,0.0175717308648626,0.10256980042446,0.106703002254948,0.267764137734114,0.0297681795228601,0.242549810983854
"nets","IBM",3,0.0515867725573098,0.102156537858444,0.670346833285199,0.444945395017052,2.17563951589022,0.168811833385511,1.94909522484968
"nets_e10","IBM",3,0.141416573006429,0.271332944668389,2.04623639619302,0.865316384620465,7.91842387861775,0.41181091120765,7.81765520875976
"irs_e1","IBM",3,0,0,0,0,0,0.00332391173767307,1.19861802689403e-77
"irs","IBM",3,0,0,0,0,0,0.0111162378269141,5.58345261611459e-20
"irs_e10","IBM",3,0.126245858828706,0.221029975862432,1.97362319478253,0.916766243791468,6.22592183743588,0.316619763120618,8.55753526235134
"treatment_e1","IBM",3,0.0142295273344232,0.0305452532415047,0.27657311272115,0.288031709500723,1.0323768985687,0.10039972968914,0.656262356478299
"treatment","IBM",3,0.0473623386426692,0.100105592474136,0.869788882578586,0.561025271507234,3.77848556385592,0.271199749523688,2.60189801233732
"treatment_e10","IBM",3,0.104564647683746,0.224299097015859,1.86999154903181,0.751900952206561,11.1991637363796,0.511582941487009,9.0246045598695
"primaquine_e1","IBM",3,0.00216233749530234,0.00504963682893975,0.0366154808073567,0.0432913946796301,0.298804735017012,0.0297419763996886,0.251305256789561
"primaquine","IBM",3,0.0135321562804074,0.0304997361950989,0.259286328791442,0.182891851162389,2.01513383805519,0.143855479641357,1.68582466507148
"primaquine_e10","IBM",3,0.048221376495062,0.111042049672413,0.907401668405561,0.397609706285438,8.2978394647032,0.373214048412158,7.70154830679754
"tafenoquine_e1","IBM",3,0.00199526966939378,0.00457649116692322,0.0402736230492035,0.0419164103038734,0.310826821234897,0.0299713545947534,0.237587863191924
"tafenoquine","IBM",3,0.0118905095764511,0.0266987658036657,0.236439372715402,0.16551290472386,1.95140184304751,0.140269500825446,1.59482212571102
"tafenoquine_e10","IBM",3,0.0460467550692593,0.106752795814582,0.879732667541079,0.397922988708499,8.07144195968781,0.365927809586012,7.47173809925367
"nets_e1","IBM",4,0.0110840568118784,0.0233497594138211,0.118547050415713,0.129535345421299,0.377251537624788,0.0396226628687647,0.317477100591985
