"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"demography","IBM",4,284,0.465611,1.17086
"demography","IBM",4,291,0.470699,0.739365
"demography","IBM",4,298,0.467545,1.29258
"demography","IBM",4,305,0.471051,1.04779
"demography","IBM",4,312,0.474961,1.23082
"demography","IBM",4,319,0.476317,1.66021
"demography","IBM",4,326,0.478689,1.22648
"demography","IBM",4,333,0.476816,1.35185
"demography","IBM",4,340,0.471381,1.4164
"demography","IBM",4,347,0.467967,1.17165
"demography","IBM",4,354,0.467281,1.29019
"demography","IBM",4,361,0.46265,1.40714
"demography","IBM",4,365,0.470359,2.56741
"eir_20","IBM",5,4,0.550926,1.69946
"eir_20","IBM",5,11,0.55308,1.43494
"eir_20","IBM",5,18,0.549321,1.79402
"eir_20","IBM",5,25,0.54598,1.48423
"eir_20","IBM",5,32,0.543611,1.55625
"eir_20","IBM",5,39,0.547475,1.85072
"eir_20","IBM",5,46,0.548929,1.41986
"eir_20","IBM",5,53,0.545282,1.3729
"eir_20","IBM",5,60,0.545772,1.71271
"eir_20","IBM",5,67,0.541224,1.23107
"eir_20","IBM",5,74,0.536856,1.37526
"eir_20","IBM",5,81,0.539084,1.32921
"eir_20","IBM",5,88,0.544178,1.39865
"eir_20","IBM",5,95,0.542882,1.22904
"eir_20","IBM",5,102,0.537927,1.29962
"eir_20","IBM",5,109,0.537629,1.46847
"eir_20","IBM",5,116,0.53851,1.75342
"eir_20","IBM",5,123,0.53766,1.3934
"eir_20","IBM",5,130,0.544696,1.3711
"eir_20","IBM",5,137,0.547948,1.92739
"eir_20","IBM",5,144,0.552936,1.51382
"eir_20","IBM",5,151,0.552189,1.48696
"eir_20","IBM",5,158,0.552884,1.53674
"eir_20","IBM",5,165,0.556433,1.60804
"eir_20","IBM",5,172,0.556788,1.29441
"eir_20","IBM",5,179,0.551627,1.41734
"eir_20","IBM",5,186,0.548637,1.49186
"eir_20","IBM",5,193,0.552632,1.49196
"eir_20","IBM",5,200,0.546123,1.44574
"eir_20","IBM",5,207,0.550502,1.53796
"eir_20","IBM",5,214,0.550849,1.32342
"eir_20","IBM",5,221,0.552982,1.61398
"eir_20","IBM",5,228,0.55706,1.56704
"eir_20","IBM",5,235,0.562278,1.41939
"eir_20","IBM",5,242,0.560945,1.51612
"eir_20","IBM",5,249,0.560678,1.53796
"eir_20","IBM",5,256,0.560104,1.62775
"eir_20","IBM",5,263,0.562509,1.38756
"eir_20","IBM",5,270,0.563094,1.48598
"eir_20","IBM",5,277,0.560967,1.61302
"eir_20","IBM",5,284,0.558455,1.71056
"eir_20","IBM",5,291,0.556326,1.75979
"eir_20","IBM",5,298,0.553367,1.10972
"eir_20","IBM",5,305,0.55602,1.52335
"eir_20","IBM",5,312,0.556313,1.66501
"eir_20","IBM",5,319,0.55899,1.25554
"eir_20","IBM",5,326,0.560353,1.45062
"eir_20","IBM",5,333,0.56286,1.91379
"eir_20","IBM",5,340,0.562947,1.91697
"eir_20","IBM",5,347,0.561453,1.5534
"eir_20","IBM",5,354,0.562167,1.38212
"eir_20","IBM",5,361,0.557935,1.33176
"eir_20","IBM",5,365,0.559812,0.847654
"demography","IBM",5,4,0.479171,1.16086
"demography","IBM",5,11,0.487558,1.46586
"demography","IBM",5,18,0.48807,1.40267
"demography","IBM",5,25,0.490909,0.66939
"demography","IBM",5,32,0.492567,0.973496
"demography","IBM",5,39,0.491292,1.15757
"demography","IBM",5,46,0.486475,1.33677
"demography","IBM",5,53,0.482258,1.3973
"demography","IBM",5,60,0.482938,1.27644
"demography","IBM",5,67,0.481322,0.974796
"demography","IBM",5,74,0.474737,1.27178
"demography","IBM",5,81,0.470309,1.38944
"demography","IBM",5,88,0.476096,1.32859
"demography","IBM",5,95,0.481583,0.846587
"demography","IBM",5,102,0.48197,1.09028
"demography","IBM",5,109,0.480674,1.32881
"demography","IBM",5,116,0.474923,1.02511
"demography","IBM",5,123,0.476085,1.20581
"demography","IBM",5,130,0.472434,1.20383
"demography","IBM",5,137,0.468269,1.20086
"demography","IBM",5,144,0.472553,0.963696
"demography","IBM",5,151,0.473482,1.08577
"demography","IBM",5,158,0.470006,1.26631
"demography","IBM",5,165,0.465211,0.905557
"demography","IBM",5,172,0.469266,0.965289
"demography","IBM",5,179,0.476374,1.50702
"demography","IBM",5,186,0.471996,1.2636
"demography","IBM",5,193,0.472655,0.961159
"demography","IBM",5,200,0.472589,1.38714
"demography","IBM",5,207,0.476952,1.32991
"demography","IBM",5,214,0.473934,1.21646
"demography","IBM",5,221,0.46755,1.52109
"demography","IBM",5,228,0.476763,0.969939
"demography","IBM",5,235,0.482652,0.846026
"demography","IBM",5,242,0.482198,1.14951
"demography","IBM",5,249,0.47741,0.849684
"demography","IBM",5,256,0.471035,1.08775
"demography","IBM",5,263,0.465536,1.39382
"demography","IBM",5,270,0.472757,1.45515
"demography","IBM",5,277,0.4784,1.2807
"demography","IBM",5,284,0.472274,0.978388
"demography","IBM",5,291,0.462983,0.97561
"demography","IBM",5,298,0.459501,0.974633
"demography","IBM",5,305,0.463347,1.52261
"demography","IBM",5,312,0.466585,1.70789
"demography","IBM",5,319,0.469419,0.913413
"demography","IBM",5,326,0.469637,1.398
"demography","IBM",5,333,0.474454,1.4583
"demography","IBM",5,340,0.474856,1.27537
"demography","IBM",5,347,0.468972,1.58563
"demography","IBM",5,354,0.469259,1.34528
"demography","IBM",5,361,0.470399,1.28435
"demography","IBM",5,365,0.468677,0.428404
"eir_20","IBM",6,4,0.55189,1.75161
